Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,210,210,0.993109,0,-324,0
2,485,275,0.986265485881,0,-264,2
3,695,210,0.979469130417794,367.9777317047119,-296,0
4,937,242,0.972719608640085,480.56779766082764,-292,1
5,1179,242,0.9660165978169462,528.052248954773,-304,1
6,1389,210,0.9593597774413896,433.50117683410645,-296,0
7,1635,246,0.952748829215041,514.9579658508301,-262,1
8,1845,210,0.9461834370329202,348.388231754303,-318,0
9,2087,242,0.9396632869683264,452.8251066207886,-296,1
10,2297,210,0.9331880672578277,376.21721267700195,-302,0
11,2538,241,0.926757468286354,473.1962366104126,-288,1
12,2813,275,0.9203711825723927,475.7023401260376,-294,2
13,3088,275,0.9140289047532864,476.34202003479004,-256,2
14,3329,241,0.9077303315706314,570.6232967376709,-304,1
15,3571,242,0.9014751618557783,561.5693340301514,-304,1
16,3781,210,0.8952630965154301,404.0723762512207,-296,0
17,4056,275,0.8890938385173424,564.0416402816772,-266,2
18,4266,210,0.8829670928761194,405.29869842529297,-268,0
19,4578,312,0.8768825666391101,651.8536643981934,-212,3
20,4788,210,0.8708399688724,390.9222059249878,-262,0
21,4998,210,0.8648390106469003,383.91422939300537,-278,0
22,5273,275,0.8588794050245325,475.47721099853516,-238,2
23,5483,210,0.8529608670445085,432.4969663619995,-284,0
24,5724,241,0.8470831137097048,416.4734330177307,-272,1
25,6002,278,0.8412458639731313,586.3720014095306,-232,2
26,6212,210,0.8354488387244925,439.8620328903198,-298,0
27,6487,275,0.829691760776842,506.5116090774536,-226,2
28,6697,210,0.8239743548533288,438.6086835861206,-278,0
29,6907,210,0.8182963475740346,393.008487701416,-258,0
30,7185,278,0.8126574674429019,588.6597275733948,-184,2
31,7494,309,0.8070574448347528,677.4624423980713,-210,3
32,7704,210,0.8014960119823966,443.2249219417572,-278,0
33,7983,279,0.795972902963826,516.2871792316437,-238,2
34,8193,210,0.7904878536895023,378.0029721260071,-280,0
35,8403,210,0.7850406018897279,388.62922859191895,-262,0
36,8645,242,0.7796308871021058,446.07670974731445,-240,1
37,8887,242,0.7742584506590853,459.3955297470093,-264,1
38,9097,210,0.7689230356755935,379.14617347717285,-284,0
39,9338,241,0.763624387036753,473.72208404541016,-240,1
40,9548,210,0.7583622513856827,391.2506833076477,-266,0
41,9789,241,0.7531363771113839,447.7232484817505,-230,1
42,10098,309,0.7479465143367094,570.7702689170837,-194,3
43,10376,278,0.7427924149064152,599.8433904647827,-210,2
44,10617,241,0.7376738323752952,452.93922567367554,-232,1
45,10827,210,0.732590521996397,438.16865849494934,-234,0
46,11037,210,0.7275422407093198,404.5426015853882,-252,0
47,11279,242,0.7225287471285919,482.5220880508423,-254,1
48,11554,275,0.7175498015321289,570.9038696289062,-212,2
49,11832,278,0.712605165849771,505.75316429138184,-208,2
50,12042,210,0.7076946036519002,343.9697494506836,-248,0
51,12353,311,0.702817880138135,581.8303699493408,-198,3
52,12563,210,0.6979747621261031,443.74731159210205,-264,0
53,12809,246,0.6931650180402922,471.8317370414734,-240,1
54,13019,210,0.6883884179009765,399.545449256897,-250,0
55,13298,279,0.6836447333132208,518.5677285194397,-170,2
56,13544,246,0.6789337374559594,380.7372739315033,-240,1
57,13785,241,0.6742552050711504,563.8367156982422,-180,1
58,14060,275,0.6696089124530051,482.5970935821533,-190,2
59,14338,278,0.6649946374372915,445.80747866630554,-204,2
60,14548,210,0.6604121593907111,428.17815685272217,-236,0
61,14794,246,0.6558612592003497,475.61171650886536,-204,1
62,15004,210,0.6513417192632001,461.6614570617676,-206,0
63,15214,210,0.6468533234757574,343.00465965270996,-234,0
64,15424,210,0.642395857223686,500.0695285797119,-218,0
65,15634,210,0.6379691073715575,402.67529010772705,-228,0
66,15875,241,0.6335728622526602,332.04954195022583,-204,1
67,16184,309,0.6292069116588771,664.0142459869385,-182,3
68,16394,210,0.6248710468306358,449.08387088775635,-228,0
69,16669,275,0.6205650604469258,592.42151927948,-196,2
70,16879,210,0.6162887466153861,337.1267260313034,-228,0
71,17154,275,0.6120419008624595,495.29877376556396,-198,2
72,17396,242,0.6078243201236163,501.7310881614685,-224,1
73,17606,210,0.6036358027336445,384.46792697906494,-258,0
74,17816,210,0.5994761484170069,467.09977436065674,-220,0
75,18026,210,0.5953451582782653,388.72997760772705,-214,0
76,18267,241,0.5912426347925698,463.8971652984619,-190,1
77,18477,210,0.5871683817962142,422.5029640197754,-236,0
78,18687,210,0.5831222044772565,347.1463074684143,-254,0
79,18965,278,0.5791039093662037,518.0441660881042,-164,2
80,19211,246,0.5751133043267612,436.42107820510864,-182,1
81,19421,210,0.5711501985466455,390.25842809677124,-230,0
82,19631,210,0.5672144025284606,396.77008724212646,-242,0
83,19942,311,0.563305728080637,583.1378908157349,-162,3
84,20183,241,0.5594239883084333,411.40194940567017,-224,1
85,20393,210,0.5555689976049999,416.0634479522705,-224,0
86,20739,346,0.5517405716425039,701.9398074150085,-94,4
87,20949,210,0.5479385273633154,370.795294046402,-206,0
88,21159,210,0.5441626829712548,439.7945375442505,-250,0
89,21405,246,0.5404128579229,390.22800493240356,-176,1
90,21647,242,0.5366888729189533,456.481369972229,-204,1
91,21925,278,0.5329905498956687,507.05304431915283,-164,2
92,22200,275,0.5293177120163377,596.095981836319,-162,2
93,22442,242,0.5256701836628331,476.196542263031,-178,1
94,22652,210,0.5220477904272126,403.36109495162964,-194,0
95,22862,210,0.5184503591033787,460.55224227905273,-234,0
96,23072,210,0.5148777176787973,404.66322135925293,-206,0
97,23418,346,0.5113296953262727,681.292236328125,-116,4
98,23693,275,0.5078061223957794,529.9850602149963,-166,2
99,23903,210,0.50430683040635,474.9265298843384,-200,0
100,24178,275,0.5008316520380199,473.83915853500366,-154,2
101,24490,312,0.49738042112382597,557.3472518920898,-106,3
102,24731,241,0.49395297264186167,477.143027305603,-212,1
103,24973,242,0.4905491427073866,482.7912788391113,-220,1
104,25219,246,0.48716876856499,436.3963928222656,-168,1
105,25429,210,0.48381168858080864,360.6756784915924,-190,0
106,25671,242,0.4804777422347983,497.66891956329346,-180,1
107,25881,210,0.4771667701130583,358.71080589294434,-218,0
108,26091,210,0.47387861390020924,445.88452672958374,-198,0
109,26333,242,0.4706131163718229,416.9129447937012,-164,1
110,26611,278,0.4673701213869047,485.85533571243286,-170,2
111,26821,210,0.46414947388042754,390.9384837150574,-190,0
112,27067,246,0.4609510198559175,442.7378821372986,-208,1
113,27277,210,0.4577746063780904,339.53331089019775,-218,0
114,27523,246,0.454620081565539,511.93288111686707,-186,1
115,27769,246,0.45148729458347087,485.85218048095703,-172,1
116,27979,210,0.44837609563649616,380.08920335769653,-210,0
117,28189,210,0.44528633596146505,384.96538853645325,-186,0
118,28498,309,0.4422178678203546,600.2392058372498,-100,3
119,28842,344,0.43917054449320453,555.5794639587402,-98,4
120,29084,242,0.4361442202711019,416.63309144973755,-176,1
121,29325,241,0.43313875044921374,413.3319354057312,-158,1
122,29535,210,0.4301539913198682,355.5270733833313,-194,0
123,29745,210,0.427189800165683,478.82734537124634,-186,0
124,29991,246,0.42424603525274124,423.04071855545044,-148,1
125,30201,210,0.4213225558238146,355.3731827735901,-202,0
126,30442,241,0.41841922209163274,456.8231739997864,-182,1
127,30754,312,0.4155358952321993,551.4935719966888,-84,3
128,30995,241,0.41267243737815423,422.93343353271484,-158,1
129,31241,246,0.4098287116121814,502.84644746780396,-172,1
130,31451,210,0.40700458196046185,400.3769826889038,-174,0
131,31726,275,0.40419991338617234,504.4754114151001,-122,2
132,31936,210,0.40141457178302825,351.94980692863464,-228,0
133,32248,312,0.3986484239688714,549.8581323623657,-132,3
134,32458,210,0.3959013376793019,335.60151720046997,-186,0
135,32668,210,0.39317318156135384,390.9443984031677,-220,0
136,32947,279,0.39046382516721456,474.19265842437744,-154,2
137,33193,246,0.3877731389479873,442.9193410873413,-140,1
138,33468,275,0.3851009942474967,461.27266120910645,-94,2
139,33678,210,0.3824472632961372,384.18038177490234,-178,0
140,33924,246,0.37981181920476353,479.41291427612305,-146,1
